;Données Flux données API;;;;;;Données SFD;;;;;
Path;Macro-attribut;Sous-MA;Collection;Codification;Attribut;;Macro-attribut;Sous MA;Collection;Attribut;Nom macro-attribut Codification;Nom table Codif
/;;;;;identifiantUniqueDonneeGeneraleIdentification;;donnee_generale_identification;;;identifiant_unique_donnee_generale_identification;;
/;;;;;indicateurGtinGenere;;donnee_generale_identification;;;indicateur_gtin_genere;;
/;;;;;champAddOn;;donnee_generale_identification;;;champ_add_on;;
/;;;;;motifAddOn;;donnee_generale_identification;;;motif_add_on;;
/;;;;;dateCreationAddOn;;donnee_generale_identification;;;date_creation_add_on;;
/;;;;;gtin;;donnee_generale_identification;;;gtin;;
/;;;;;codeSap;;donnee_generale_identification;;;code_sap;;
/;;;;;identifiantUniqueFournisseurInformation;;donnee_generale_identification;;;identifiant_unique_fournisseur_information;;
/;;;;X;dGITypologieProduitUc;;donnee_generale_identification;;;typologie_produit_uc (DGI_typologie_produit_uc);typologie_de_produit;structure_generique
/;;;;;libelleStandard;;donnee_generale_identification;;;libelle_standard;;
/;;;;;indicateurProduitMesureVariable;;donnee_generale_identification;;;indicateur_produit_mesure_variable;;
/;;;;;codePoidsVariable;;donnee_generale_identification;;;code_poids_variable;;
/;;;;;observation;;donnee_generale_identification;;;observation;;
/;;;;;observationInterneSca;;donnee_generale_identification;;;observation_interne_sca;;
/;;;;;produitADecouper;;donnee_generale_identification;;;produit_a_decouper;;
/;;;;;produitDematerialise;;donnee_generale_identification;;;produit_dematerialise;;
/;;;;;indicateurConsigne;;donnee_generale_identification;;;indicateur_consigne;;
/;;;;;flagProduitAvecGratuite;;donnee_generale_identification;;;flag_produit_avec_gratuite;;
/;;;;;nombreProduitDifferentDansLot;;donnee_generale_identification;;;nombre_produit_different_dans_lot;;
/;;;;X;dGIEntite;;donnee_generale_identification;;;proprietaire (DGI_entite);;
/;;;;;dateCreation;;donnee_generale_identification;;;date_creation;;
/;;;;;dateMaj;;donnee_generale_identification;;;date_maj;;
/;;;validiteProduit;;identifiantUniqueValiditeProduit;;donnee_generale_identification;;validite_produit;identifiant_unique_validite_produit;;
/;;;validiteProduit;;identifiantUniqueFournisseurInformation;;donnee_generale_identification;;validite_produit;identifiant_unique_fournisseur_information;;
/;;;validiteProduit;X;dGITypeDePeriodeProduit;;donnee_generale_identification;;validite_produit;identifiant_unique_type_periode (DGI_type_de_periode_produit);;
/;;;validiteProduit;X;dGIPeriodeProduit;;donnee_generale_identification;;validite_produit;identifiant_unique_periode (DGI_periode_produit);;
/;;;validiteProduit;;dateDebutValiditePeriode;;donnee_generale_identification;;validite_produit;date_debut_validite_periode;;
/;;;validiteProduit;;dateFinValiditePeriode;;donnee_generale_identification;;validite_produit;date_fin_validite_periode;;
/;;;travailleAvec;;identifiantUniqueTravailleAvec;;donnee_generale_identification;;travaille_avec;identifiant_unique_travaille_avec;;
/;;;travailleAvec;X;dGIEntiteSelection;;donnee_generale_identification;;travaille_avec;entite_selection (DGI_entite_selection);;
/;;;travailleAvec;;flagTravailleAvec;;donnee_generale_identification;;travaille_avec;flag_travaille_avec;;
/;;;travailleAvec;;dateDebut;;donnee_generale_identification;;travaille_avec;date_debut;;
/;;;travailleAvec;;dateFin;;donnee_generale_identification;;travaille_avec;date_fin;;
/;;donneesGeneralesLot;;;;;;;;;;
/;;donneeGeneraleMarqueFournisseur;;;;;;;;;;
/;;nomenclature;;;;;;;;;;
/;;infoVenteLibelle;;;;;;;;;;
/;;infoVenteDimension;;;;;;;;;;
/;;infoVenteAsset;;;;;;;;;;
/;;infoAchatGeneralite;;;;;;;;;;
/;;logistiqueIdentification;;;;;;;;;;
/;;logistiqueSpecificiteMarche;;;;;;;;;;
/;;droitsEtTaxes;;;;;;;;;;
/;;qualiteEtReglementation;;;;;;;;;;
/;;securite;;;;;;;;;;
/;;chainage;;;;;;;;;;
/;;article;;;;;;;;;;
/donneesGeneralesLot;donneesGeneralesLot;;;;identifiantUniqueDonneeGeneraleLot;;donnee_generale_lot;;;identifiant_unique_donnee_generale_lot;;
/donneesGeneralesLot;donneesGeneralesLot;;;;quantiteComposantLot;;donnee_generale_lot;;;quantite_composant_lot;;
/donneesGeneralesLot;donneesGeneralesLot;;;X;dGLUniteDeMesure;;donnee_generale_lot;;;um_quantite_composant_lot (DGL_unite_de_mesure);;
/donneesGeneralesLot;donneesGeneralesLot;;;;identifiantUniqueComposeUc;;donnee_generale_lot;;;identifiant_unique_compose_uc;;
/donneesGeneralesLot;donneesGeneralesLot;;;;identifiantUniqueComposantUc;;donnee_generale_lot;;;identifiant_unique_composant_uc;;
/donneesGeneralesLot;donneesGeneralesLot;;;X;dGLEntite;;donnee_generale_lot;;;proprietaire (DGL_entite);;
/donneesGeneralesLot;donneesGeneralesLot;;;;dateCreation;;donnee_generale_lot;;;date_creation;;
/donneesGeneralesLot;donneesGeneralesLot;;;;dateMaj;;donnee_generale_lot;;;date_maj;;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;;identifiantUniqueDonneeGeneraleMarqueFournisseur;;donnee_generale_marque_fournisseur;;;identifiant_unique_donnee_generale_marque_fournisseur;;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;X;dGFMarque;;donnee_generale_marque_fournisseur;;;marque (DGF_marque);;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;;marqueFournisseur;;donnee_generale_marque_fournisseur;;;marque_fournisseur;;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;X;dGFTypeMarque;;donnee_generale_marque_fournisseur;;;type_marque (DGF_type_marque);;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;X;dGFSousMarque;;donnee_generale_marque_fournisseur;;;sous_marque (DGF_sous_marque);;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;;sousMarqueFournisseur;;donnee_generale_marque_fournisseur;;;sous_marque_fournisseur;;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;X;dGFEntite;;donnee_generale_marque_fournisseur;;;proprietaire (DGF_entite);;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;;dateCreation;;donnee_generale_marque_fournisseur;;;date_creation;;
/donneeGeneraleMarqueFournisseur;donneeGeneraleMarqueFournisseur;;;;dateMaj;;donnee_generale_marque_fournisseur;;;date_maj;;
/nomenclature;nomenclature;;;;identifiantUniqueNomenclature;;nomenclature;;;identifiant_unique_nomenclature;;
/nomenclature;nomenclature;;;X;lNNomenclatureCodelec;;nomenclature;;;idnetifiant_unique_codelec (LN_nomenclature_codelec);;
/nomenclature;nomenclature;;;X;lNNomenclatureCodelecPropose;;nomenclature;;;codelec_propose (LN_nomenclature_codelec);;
/nomenclature;nomenclature;;;X;lNStatutValidationCodelec;;nomenclature;;;statut_codelec_propose (LN_statut_validation_codelec);;
/nomenclature;nomenclature;;;X;lNStructureOrganisationnelle;;nomenclature;;;code_service (LN_structure_organisationnelle);;
/nomenclature;nomenclature;;;X;lNNomenclatureDouaniereTaric;;nomenclature;;;identifiant_unique_nomenclature_douaniere (LN_nomenclature_douaniere_taric);;
/nomenclature;nomenclature;;;X;lNNomenclatureNgp;;nomenclature;;;Nomenclature douanière NGP (LN_nomenclature_ngp);;
/nomenclature;nomenclature;;;;nomenclatureSca;;nomenclature;;;nomenclature_sca;;
/nomenclature;nomenclature;;;X;lNNomenclaturePkwiu;;nomenclature;;;identifiant_unique_nomenclature_pkwiu (LN_nomenclature_pkwiu);;
/nomenclature;nomenclature;;;X;lNRubriqueComptabiliteMatiere;;nomenclature;;;nomenclature_comptabilite_matiere (LN_rubrique_comptabilite_matiere);;
/nomenclature;nomenclature;;;X;lNNomenclatureIri;;nomenclature;;;identifiant_unique_nomenclature_iri (LN_nomenclature_iri);;
/nomenclature;nomenclature;;;X;lNClassificationFedas;;nomenclature;;;identifiant_unique_classification_fedas (LN_classification_fedas);;
/nomenclature;nomenclature;;;X;lNNomenclatureGfk;;nomenclature;;;nomenclature_gfk (LN_nomenclature_gfk);;
/nomenclature;nomenclature;;;X;lNEntite;;nomenclature;;;proprietaire (LN_entite);;
/nomenclature;nomenclature;;;;dateCreation;;nomenclature;;;date_creation;;
/nomenclature;nomenclature;;;;dateMaj;;nomenclature;;;date_maj;;
/infoVenteLibelle;infoVenteLibelle;;;;identifiantUniqueInfoVenteLibelle;;info_vente_libelle;;;identifiant_unique_info_vente_libelle;;
/infoVenteLibelle;infoVenteLibelle;;;;libelleLong;;info_vente_libelle;;;libelle_long;;
/infoVenteLibelle;infoVenteLibelle;;;;libelleInternet;;info_vente_libelle;;;libelle_internet;;
/infoVenteLibelle;infoVenteLibelle;;;;libelleEtiquetteGondole;;info_vente_libelle;;;libelle_etiquette_gondole;;
/infoVenteLibelle;infoVenteLibelle;;;;complementLibelleEtiquetteGondole;;info_vente_libelle;;;complement_libelle_etiquette_gondole;;
/infoVenteLibelle;infoVenteLibelle;;;;libelleCaisse;;info_vente_libelle;;;libelle_caisse;;
/infoVenteLibelle;infoVenteLibelle;;;X;iVLTypeUniteDeMesureMarquageLineaire;;info_vente_libelle;;;type_mesure_marquage_lineaire (IVL_type_unite_de_mesure_marquage_lineaire);;
/infoVenteLibelle;infoVenteLibelle;;;;valeurMarquageLineaire;;info_vente_libelle;;;valeur_marquage_lineaire;;
/infoVenteLibelle;infoVenteLibelle;;;X;iVLUniteDeMesureMarquageLineaire;;info_vente_libelle;;;unite_marquage_lineaire (IVL_unite_de_mesure_marquage_lineaire);;
/infoVenteLibelle;infoVenteLibelle;;;;compositionProduit;;info_vente_libelle;;;composition_produit;;
/infoVenteLibelle;infoVenteLibelle;;;;texteMarketing;;info_vente_libelle;;;texte_marketing;;
/infoVenteLibelle;infoVenteLibelle;;;;instructionPreparation;;info_vente_libelle;;;instruction_preparation;;
/infoVenteLibelle;infoVenteLibelle;;;;instructionConservation;;info_vente_libelle;;;instruction_conservation;;
/infoVenteLibelle;infoVenteLibelle;;;;noteNutrimark;;info_vente_libelle;;;note_nutrimark;;
/infoVenteLibelle;infoVenteLibelle;;;;modeEmploi;;info_vente_libelle;;;mode_emploi;;
/infoVenteLibelle;infoVenteLibelle;;;;contientTextileLavable;;info_vente_libelle;;;contient_textile_lavable;;
/infoVenteLibelle;infoVenteLibelle;;;;venduAvecPile;;info_vente_libelle;;;vendu_avec_pile;;
/infoVenteLibelle;infoVenteLibelle;;;;precautionEmploi;;info_vente_libelle;;;precaution_emploi;;
/infoVenteLibelle;infoVenteLibelle;;;X;iVLEntite;;info_vente_libelle;;;proprietaire (IVL_entite);;
/infoVenteLibelle;infoVenteLibelle;;;;dateCreation;;info_vente_libelle;;;date_creation;;
/infoVenteLibelle;infoVenteLibelle;;;;dateMaj;;info_vente_libelle;;;date_maj;;
/infoVenteLibelle;infoVenteLibelle;;contenuNet;;identifiantUniqueContenuNet;;info_vente_libelle;;contenu_net;identifiant_unique_contenu_net;;
/infoVenteLibelle;infoVenteLibelle;;contenuNet;;contenuNetProduit;;info_vente_libelle;;contenu_net;contenu_net_produit;;
/infoVenteLibelle;infoVenteLibelle;;contenuNet;X;iVLUniteDeMesureContenuNet;;info_vente_libelle;;contenu_net;unite_contenu_net_produit (IVL_unite_de_mesure_contenu_net);;
/infoVenteLibelle;infoVenteLibelle;;consigneTri;;identifiantUniqueConsigneTri;;info_vente_libelle;;consigne_tri;identifiant_unique_consigne_tri;;
/infoVenteLibelle;infoVenteLibelle;;consigneTri;;consigneTri;;info_vente_libelle;;consigne_tri;consigne_tri;;
/infoVenteLibelle;infoVenteLibelle;;recompense;;identifiantUniqueRecompense;;info_vente_libelle;;recompense;identifiant_unique_recompense;;
/infoVenteLibelle;infoVenteLibelle;;recompense;X;iVLRecompenseProduit;;info_vente_libelle;;recompense;identifiant_unique_recompense_produit (IVL_recompense_produit);;
/infoVenteLibelle;infoVenteLibelle;;regimeSpecifique;;identifiantUniqueRegimeSpecifique;;info_vente_libelle;;regime_specifique;identifiant_unique_regime_specifique;;
/infoVenteLibelle;infoVenteLibelle;;regimeSpecifique;X;iVLRegime;;info_vente_libelle;;regime_specifique;identifiant_unique_regime (IVL_regime);;
/infoVenteLibelle;infoVenteLibelle;;infoAchatSpecificiteMarche;;;;info_vente_libelle;;;;;
/infoVenteLibelle;infoVenteLibelle;;infoVenteInformationMagasin;;;;info_vente_libelle;;;;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;identifiantUniqueInfoVenteSpecificiteMarche;;info_vente_specificite_marche;;;identifiant_unique_info_vente_specificite_marche;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMTypeDePresentation;;info_vente_specificite_marche;;;type_presentation (IVSM_type_de_presentation);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMPaysAbattage;;info_vente_specificite_marche;;;identifiant_unique_pays_abattage (IVSM_pays_abattage);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMPaysDecoupage;;info_vente_specificite_marche;;;identifiant_unique_pays_decoupage (IVSM_pays_decoupage);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;espece;;info_vente_specificite_marche;;;espece;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;nomScientifiqueEspece;;info_vente_specificite_marche;;;nom_scientifique_espece;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;techniquePeche;;info_vente_specificite_marche;;;technique_peche;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;isbn;;info_vente_specificite_marche;;;isbn;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;auteur;;info_vente_specificite_marche;;;auteur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;compositeur;;info_vente_specificite_marche;;;compositeur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;titre;;info_vente_specificite_marche;;;titre;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;collection;;info_vente_specificite_marche;;;collection;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;tome;;info_vente_specificite_marche;;;tome;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;dureeSupportMultimedia;;info_vente_specificite_marche;;;duree_support_multimedia;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMSupportMultimedia;;info_vente_specificite_marche;;;identifiant_unique_support_multimedia (IVSM_support_multimedia);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;editeur;;info_vente_specificite_marche;;;editeur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;prixVenteConseille;;info_vente_specificite_marche;;;prix_vente_conseille;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;sousTitre;;info_vente_specificite_marche;;;sous_titre;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;nomSerie;;info_vente_specificite_marche;;;nom_serie;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMLangueOrigine;;info_vente_specificite_marche;;;identifiant_unique_langue_origine (IVSM_langue_origine);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;nombrePage;;info_vente_specificite_marche;;;nombre_page;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMFormatCd;;info_vente_specificite_marche;;;identifiant_unique_format (IVSM_format_cd);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;nombreDisque;;info_vente_specificite_marche;;;nombre_disque;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;categorie;;info_vente_specificite_marche;;;categorie;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;resume;;info_vente_specificite_marche;;;resume;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;anneeSortieSalle;;info_vente_specificite_marche;;;annee_sortie_salle;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;zonageVideo;;info_vente_specificite_marche;;;zonage_video;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;configurationRequise;;info_vente_specificite_marche;;;configuration_requise;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;indicateurMultijoueur;;info_vente_specificite_marche;;;indicateur_multijoueur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;nombreUtilisateur;;info_vente_specificite_marche;;;nombre_utilisateur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;nombreLicence;;info_vente_specificite_marche;;;nombre_licence;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;dureeLicence;;info_vente_specificite_marche;;;duree_licence;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;resolution;;info_vente_specificite_marche;;;resolution;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;nombreJoueur;;info_vente_specificite_marche;;;nombre_joueur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;qualiteEnregistrement;;info_vente_specificite_marche;;;qualite_enregistrement;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;controleCopie;;info_vente_specificite_marche;;;contrôle_copie;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;numeroDisque;;info_vente_specificite_marche;;;numero_disque;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;numeroPiste;;info_vente_specificite_marche;;;numero_piste;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;distributeur;;info_vente_specificite_marche;;;distributeur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;label;;info_vente_specificite_marche;;;label;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMFonctionArtiste;;info_vente_specificite_marche;;;fonction_artiste (IVSM_fonction_artiste);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMGenreDeMusique;;info_vente_specificite_marche;;;identifiant_unique_genre (IVSM_genre_de_musique);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;numeroDansCollection;;info_vente_specificite_marche;;;numero_dans_collection;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMLangueUtilisee;;info_vente_specificite_marche;;;identifiant_unique_langue_utilisee (IVSM_langue_utilisee);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;couleurImage;;info_vente_specificite_marche;;;couleur_image;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMFormatImage;;info_vente_specificite_marche;;;format_image (IVSM_format_image);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMQualiteDeSon;;info_vente_specificite_marche;;;identifiant_unique_qualite_son (IVSM_qualite_de_son);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMTypeDeBonus;;info_vente_specificite_marche;;;identifiant_unique_bonus (IVSM_type_de_bonus);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMClassificationDesOeuvresCinematographiques;;info_vente_specificite_marche;;;public (IVSM_classification_des_oeuvres_cinematographiques);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMClassificationPegi;;info_vente_specificite_marche;;;identifiant_unique_pegi (IVSM_classification_pegi);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;jeuEnLigne;;info_vente_specificite_marche;;;jeu_en_ligne;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;connexionInternet;;info_vente_specificite_marche;;;connexion_internet;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;studioDeveloppement;;info_vente_specificite_marche;;;studio_developpement;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;X;iVSMEntite;;info_vente_specificite_marche;;;proprietaire (IVSM_entite);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;dateCreation;;info_vente_specificite_marche;;;date_creation;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;;;dateMaj;;info_vente_specificite_marche;;;date_maj;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;fruitLegume;;identifiantUniqueFruitLegume;;info_vente_specificite_marche;;fruit_legume;identifiant_unique_fruit_legume;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;fruitLegume;X;iVSMPaysOrigine;;info_vente_specificite_marche;;fruit_legume;origine (IVSM_pays_origine);;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;fruitLegume;;calibre;;info_vente_specificite_marche;;fruit_legume;calibre;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;fruitLegume;;categorie;;info_vente_specificite_marche;;fruit_legume;categorie;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;fruitLegume;;variete;;info_vente_specificite_marche;;fruit_legume;variete;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;fruitLegume;;saisonnalite;;info_vente_specificite_marche;;fruit_legume;saisonnalite;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;interprete;;identifiantUniqueInterprete;;info_vente_specificite_marche;;interprete;identifiant_unique_interprete;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;interprete;;interprete;;info_vente_specificite_marche;;interprete;interprete;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;interprete;;principal;;info_vente_specificite_marche;;interprete;principal;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;prixFutur;;identifiantUniquePrixFutur;;info_vente_specificite_marche;;prix_futur;identifiant_unique_prix_futur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;prixFutur;;prixFutur;;info_vente_specificite_marche;;prix_futur;prix_futur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;prixFutur;;dateDebutPrixFutur;;info_vente_specificite_marche;;prix_futur;date_debut_prix_futur;;
/infoVenteLibelle/infoVenteSpecificiteMarche;infoVenteSpecificiteMarche;;prixFutur;;dateFinPrixFutur;;info_vente_specificite_marche;;prix_futur;date_fin_prix_futur;;
/infoVenteLibelle/infoVenteInformationMagasin;infoVenteInformationMagasin;;;;identifiantUniqueInfoVenteInformationMagasin;;info_vente_information_magasin;;;identifiant_unique_info_vente_information_magasin;;
/infoVenteLibelle/infoVenteInformationMagasin;infoVenteInformationMagasin;;;;dateSortieNationale;;info_vente_information_magasin;;;date_sortie_nationale;;
